item_uid,answer,distractors,gold_letter,gold_quadrant,A_top_left_term,B_top_right_term,C_bottom_left_term,D_bottom_right_term,A_top_left_src,B_top_right_src,C_bottom_left_src,D_bottom_right_src,composite_path
vocab__rosette,rosette,brooch|manholecover|roseball,D,bottom-right,brooch,manholecover,roseball,rosette,data/assets/2026-03-24/visual/vocab/brooch.webp,data/assets/2026-03-24/visual/vocab/manholecover.webp,data/assets/2026-03-24/visual/vocab/roseball.webp,data/assets/2026-03-24/visual/vocab/rosette.webp,local_data/vocab_graphics/images/vocab__rosette.png
vocab__saffron,saffron,cinnamon|clove|staranise,B,top-right,staranise,saffron,clove,cinnamon,data/assets/2026-03-24/visual/vocab/staranise.webp,data/assets/2026-03-24/visual/vocab/saffron.webp,data/assets/2026-03-24/visual/vocab/clove.webp,data/assets/2026-03-24/visual/vocab/cinnamon.webp,local_data/vocab_graphics/images/vocab__saffron.png
vocab__mischievous,mischievous,irritated|headaches|suprised,B,top-right,suprised,mischievous,irritated,headaches,data/assets/2026-03-24/visual/vocab/suprised.webp,data/assets/2026-03-24/visual/vocab/mischievous.webp,data/assets/2026-03-24/visual/vocab/irritated.webp,data/assets/2026-03-24/visual/vocab/headaches.webp,local_data/vocab_graphics/images/vocab__mischievous.png
vocab__skimmer,skimmer,pastaspoon|spatula|strainer,B,top-right,spatula,skimmer,pastaspoon,strainer,data/assets/2026-03-24/visual/vocab/spatula.webp,data/assets/2026-03-24/visual/vocab/skimmer.webp,data/assets/2026-03-24/visual/vocab/pastaspoon.webp,data/assets/2026-03-24/visual/vocab/strainer.webp,local_data/vocab_graphics/images/vocab__skimmer.png
vocab__sedentary,sedentary,proposal|effort|tripod,B,top-right,effort,sedentary,tripod,proposal,data/assets/2026-03-24/visual/vocab/effort.webp,data/assets/2026-03-24/visual/vocab/sedentary.webp,data/assets/2026-03-24/visual/vocab/tripod.webp,data/assets/2026-03-24/visual/vocab/proposal.webp,local_data/vocab_graphics/images/vocab__sedentary.png
vocab__suede,suede,jeans|cotton|silk,D,bottom-right,cotton,jeans,silk,suede,data/assets/2026-03-24/visual/vocab/cotton.webp,data/assets/2026-03-24/visual/vocab/jeans.webp,data/assets/2026-03-24/visual/vocab/silk.webp,data/assets/2026-03-24/visual/vocab/suede.webp,local_data/vocab_graphics/images/vocab__suede.png
vocab__turnstile,turnstile,wiper|scalpel|weathervane,C,bottom-left,weathervane,wiper,turnstile,scalpel,data/assets/2026-03-24/visual/vocab/weathervane.webp,data/assets/2026-03-24/visual/vocab/wiper.webp,data/assets/2026-03-24/visual/vocab/turnstile.jpg,data/assets/2026-03-24/visual/vocab/scalpel.webp,local_data/vocab_graphics/images/vocab__turnstile.png
vocab__triad,triad,duo|myriad|quartet,C,bottom-left,myriad,quartet,triad,duo,data/assets/2026-03-24/visual/vocab/myriad.webp,data/assets/2026-03-24/visual/vocab/quartet.webp,data/assets/2026-03-24/visual/vocab/triad.webp,data/assets/2026-03-24/visual/vocab/duo.webp,local_data/vocab_graphics/images/vocab__triad.png
vocab__dredging,dredging,mow|deforestation|saltextraction,D,bottom-right,mow,deforestation,saltextraction,dredging,data/assets/2026-03-24/visual/vocab/mow.webp,data/assets/2026-03-24/visual/vocab/deforestation.webp,data/assets/2026-03-24/visual/vocab/saltextraction.webp,data/assets/2026-03-24/visual/vocab/dredging.webp,local_data/vocab_graphics/images/vocab__dredging.png
vocab__urban,urban,village|maritime|rural,C,bottom-left,village,maritime,urban,rural,data/assets/2026-03-24/visual/vocab/village.webp,data/assets/2026-03-24/visual/vocab/maritime.webp,data/assets/2026-03-24/visual/vocab/urban.webp,data/assets/2026-03-24/visual/vocab/rural.webp,local_data/vocab_graphics/images/vocab__urban.png
vocab__steam,steam,pottery|rust|blacksmith,C,bottom-left,blacksmith,rust,steam,pottery,data/assets/2026-03-24/visual/vocab/blacksmith.webp,data/assets/2026-03-24/visual/vocab/rust.webp,data/assets/2026-03-24/visual/vocab/steam.webp,data/assets/2026-03-24/visual/vocab/pottery.webp,local_data/vocab_graphics/images/vocab__steam.png
vocab__vertebra,vertebra,leg|hip|skull,C,bottom-left,hip,skull,vertebra,leg,data/assets/2026-03-24/visual/vocab/hip.webp,data/assets/2026-03-24/visual/vocab/skull.webp,data/assets/2026-03-24/visual/vocab/vertebra.webp,data/assets/2026-03-24/visual/vocab/leg.webp,local_data/vocab_graphics/images/vocab__vertebra.png
vocab__bandage,bandage,stretcher|bagbinder|mop,D,bottom-right,stretcher,mop,bagbinder,bandage,data/assets/2026-03-24/visual/vocab/stretcher.webp,data/assets/2026-03-24/visual/vocab/mop.webp,data/assets/2026-03-24/visual/vocab/bagbinder.webp,data/assets/2026-03-24/visual/vocab/bandage.webp,local_data/vocab_graphics/images/vocab__bandage.png
